,country
0,United States
1, India
2, South Korea
3, China
4,United Kingdom
5,Spain
6,Bulgaria
7, United States
8, Spain
9, Canada
10,Chile
11, United Kingdom
12, Denmark
13, Sweden
14,Netherlands
15, Belgium
16,France
17,Indonesia
18, Uruguay
19,
20,Thailand
21,China
22,Belgium
23, France
24,India
25,Pakistan
26,Canada
27,South Korea
28,Denmark
29,Turkey
30,Brazil
31, Italy
32, Netherlands
33,Ireland
34,Hong Kong
35, Morocco
36,Mexico
37, Mexico
38,Vietnam
39, Argentina
40,Nigeria
41,Japan
42,Norway
43, Germany
44, Greece
45, Ireland
46, Switzerland
47, United Arab Emirates
48, Hong Kong
49, Japan
50,Lebanon
51,Australia
52,Cambodia
53,Russia
54,Poland
55,Israel
56,Italy
57,Germany
58, Australia
59, Brazil
60, Portugal
61,United Arab Emirates
62,Egypt
63,Taiwan
64, Austria
65,Czech Republic
66, Senegal
67, Soviet Union
68,Argentina
69, Israel
70, Peru
71, Norway
72,Switzerland
73, Ukraine
74,Malaysia
75, South Africa
76, Nepal
77,Philippines
78, Indonesia
79, Poland
80, Serbia
81,Serbia
82,Colombia
83, Czech Republic
84,Singapore
85, Malaysia
86, Luxembourg
87,Peru
88, Bulgaria
89, West Germany
90, Cayman Islands
91,South Africa
92,New Zealand
93,Venezuela
94, Thailand
95, Jordan
96,Saudi Arabia
97, Iceland
98, Malta
99, Lebanon
100, Qatar
101, Russia
102,Iceland
103, Chile
104, New Zealand
105,Austria
106,Uruguay
107, Iran
108,Finland
109, Iraq
110, Liechtenstein
111, Albania
112, Pakistan
113, Slovakia
114, Samoa
115,Ghana
116, Cambodia
117, Finland
118, Colombia
119, Botswana
120,Iran
121, Taiwan
122,Sweden
123,Hungary
124,Guatemala
125,Portugal
126, Malawi
127,Paraguay
128,Somalia
129, Kenya
130, Sudan
131, Sri Lanka
132,Ukraine
133,Dominican Republic
134, Panama
135,Romania
136, Latvia
137, Singapore
138, Uganda
139,Slovenia
140, Croatia
141,Croatia
142, Slovenia
143, Montenegro
144,Bangladesh
145, Vatican City
146, Egypt
147,Soviet Union
148, Dominican Republic
149, East Germany
150, Bangladesh
151, Afghanistan
152, Venezuela
153,Georgia
154, Namibia
155, Zimbabwe
156,West Germany
157, Cuba
158, Hungary
159, Azerbaijan
160,Mauritius
161, Nicaragua
162, Romania
163, Kazakhstan
164, Turkey
165, Armenia
166, Mongolia
167, Philippines
168, Bermuda
169, Ecuador
170, Syria
171, Kuwait
172,Cyprus
